                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                   2.02,                 4.9512,                 1.9619,                0.14296,                    0.5,                0.18746,                0.11482,                0.83612,                  2.846,                 1.3229,             0.00011669,             0.00011669,             0.00011669
                      1,                 1.1019,                  1.824,                 1.1929,                 0.9525,                      1,                  0.995,                  0.796,                0.89831,                 1.2603,                 1.1999,             0.00024757,             0.00024757,             0.00024757
                      2,                0.87675,                0.94231,                 1.0618,                0.96027,                      1,                  0.995,                  0.796,                0.96715,                0.88984,                 1.3001,             0.00037582,             0.00037582,             0.00037582
                      3,                 0.8702,                0.76839,                 1.0561,                0.96245,                      1,                  0.995,                0.74625,                 1.0259,                 0.7755,                 1.2768,             0.00050142,             0.00050142,             0.00050142
                      4,                0.82423,                0.72042,                 1.0392,                0.97266,                      1,                  0.995,                  0.796,                0.93787,                 0.8669,                 1.2999,             0.00062438,             0.00062438,             0.00062438
                      5,                0.83665,                0.66501,                 1.0399,                0.96072,                      1,                  0.995,                  0.796,                0.95752,                0.62209,                 1.2473,             0.00074471,             0.00074471,             0.00074471
                      6,                0.86052,                0.59239,                 1.0432,                0.89832,                      1,                  0.995,                  0.796,                0.97301,                0.79579,                 1.4456,             0.00086239,             0.00086239,             0.00086239
                      7,                0.83316,                0.54655,                 1.0286,                0.94003,                      1,                  0.995,                0.84575,                0.66864,                0.46515,                 1.0663,             0.00097743,             0.00097743,             0.00097743
                      8,                0.85594,                0.60404,                 1.0296,                0.81266,                      1,                  0.995,                0.84575,                0.63109,                0.65027,                 1.2657,              0.0010898,              0.0010898,              0.0010898
                      9,                0.82141,                0.57864,                 1.0342,                0.75252,                      1,                  0.995,                  0.796,                0.87308,                0.90579,                 1.2031,              0.0011996,              0.0011996,              0.0011996
                     10,                0.86874,                0.62572,                 1.0355,                0.66017,                      1,                  0.995,                  0.796,                0.92907,                 1.1415,                 1.2051,              0.0013067,              0.0013067,              0.0013067
